AGENT	SALESMAN	PER_ID	TE_ID	CF_COUNT	CS_SUMAGTQTYREC	CS_SUMAGTQTYSOLD	CS_SUMAGTQTYDESTR	CS_SUMAGTQTYCSTORE	CS_SUMAGTQTYSORTING	CS_SUMAGTQTYTRANSIT	CS_SUMAGTQTYFLOOR	CS_SUMAGTQTYRESERVED	LOC	QTY_FLOOR	PRODUCER	GRN_NO	COMMODITY	DATE_RECEIVED	QTY_REC	QTY_SOLD	DRQTY	CSSUM	SSUM	ITSUM	TE_ID_PROD	QTY_RESERVED
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	KAMBO FOREST HILL	15552567	APP,CT185,GS,1,*,100,*	24-JUL-26	98	0	0	98	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	46	KAMBO FOREST HILL	15552559	APP,CT185,GS,1,*,110,*	24-JUL-26	98	3	0	49	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	KAMBO FOREST HILL	15552576	APP,CT185,GS,1,*,80,*	24-JUL-26	49	0	0	49	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	77	KAMBO FOREST HILL	15552546	APP,CT185,GS,1,*,90,*	24-JUL-26	98	21	0	0	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	KAMBO FOREST HILL	15552584	APP,EPB015,GD,1,120,8,*	24-JUL-26	72	0	0	72	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	8	KAMBO FOREST HILL	15552589	APP,EPB015,GD,1,165,8,*	24-JUL-26	9	1	0	0	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	37	KAMBO FOREST HILL	15552578	APP,EPB015,GD,1,180,8,*	24-JUL-26	84	47	0	0	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	35	KAMBO FOREST HILL	15552592	APP,EPB015,GD,1,198,8,*	24-JUL-26	35	0	0	0	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	KAMBO FOREST HILL	15552534	APP,EPB015,GS,1,120,8,*	24-JUL-26	192	0	0	192	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	KAMBO FOREST HILL	15552528	APP,EPB015,GS,1,135,8,*	24-JUL-26	192	0	0	192	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	KAMBO FOREST HILL	15552489	APP,EPB015,GS,1,150,8,*	24-JUL-26	256	0	0	256	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	KAMBO FOREST HILL	15552572	APP,EPB015,GS,1,165,8,*	24-JUL-26	128	0	0	128	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	KAMBO FOREST HILL	15552531	APP,EPB015,GS,1,180,8,*	24-JUL-26	192	0	0	192	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	17	KAMBO FOREST HILL	15552616	APP,EPB015,SK,1,120,8,*	24-JUL-26	17	0	0	0	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	40	KAMBO FOREST HILL	15552617	APP,EPB015,SK,1,135,8,*	24-JUL-26	40	0	0	0	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	46	KAMBO FOREST HILL	15552615	APP,EPB015,SK,1,150,8,*	24-JUL-26	87	41	0	0	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	26	KAMBO FOREST HILL	15552602	APP,EPB015,SK,1,180,8,*	24-JUL-26	144	46	0	72	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	71	KAMBO FOREST HILL	15552609	APP,EPB015,SK,1,198,8,*	24-JUL-26	72	1	0	0	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	8	KAMBO FOREST HILL	15552618	APP,EPB015,TR,1,120,8,*	24-JUL-26	8	0	0	0	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	43	KAMBO FOREST HILL	15552619	APP,EPB015,TR,1,150,8,*	24-JUL-26	43	0	0	0	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	57	KAMBO FOREST HILL	15552620	APP,EPB015,TR,1,180,8,*	24-JUL-26	57	0	0	0	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	28	KAMBO FOREST HILL	15552623	APP,EPB015,TR,1,198,8,*	24-JUL-26	28	0	0	0	0	0	262332	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	1	OCKERT LE ROUX BOERDERY	15493378	AVOS,BG150,AH,3,L,*,*	20-JUN-26	14	13	0	0	0	0	133375	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	7	SOUTPANSBERG SUB-TROPICAL CC	15518822	AVOS,TR040,AK,2,*,10,*	07-JUL-26	264	257	0	0	0	0	6888	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	144	LANGPLAAS BOERDERY CC	15567414	BERS,PTB025,*,0,*,16,*	02-AUG-26	144	0	0	0	0	0	57898	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	2	LANGPLAAS BOERDERY CC	15551222	BERS,PTB025,*,0,*,16,*	24-JUL-26	72	70	0	0	0	0	57898	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	65	KOMATI FRUITS ( PTY ) LTD	15566076	GFT,CO150,JS,1,*,64,*	31-JUL-26	65	0	0	0	0	0	161360	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	130	KOMATI FRUITS ( PTY ) LTD	15566079	GFT,CO150,JS,1,*,64,*	31-JUL-26	130	0	0	0	0	0	161360	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	325	KOMATI FRUITS ( PTY ) LTD	15566083	GFT,CO150,JS,1,*,72,*	31-JUL-26	325	0	0	0	0	0	161360	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	65	KOMATI FRUITS ( PTY ) LTD	15566035	GFT,CO150,JS,1,*,96,*	31-JUL-26	65	0	0	0	0	0	161360	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	65	KOMATI FRUITS ( PTY ) LTD	15566071	GFT,CO150,JS,1,*,96,*	31-JUL-26	65	0	0	0	0	0	161360	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	14	KOMATI FRUITS ( PTY ) LTD	15416273	LEMS,CTT150,*,1,*,100,*	10-MAY-26	20	6	0	0	0	0	161360	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	229	KOMATI FRUITS ( PTY ) LTD	15429353	LEMS,CTT150,*,1,*,113,*	16-MAY-26	350	121	0	0	0	0	161360	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	146	KOMATI FRUITS ( PTY ) LTD	15400098	LEMS,CTT150,*,1,*,56,*	01-MAY-26	800	654	0	0	0	0	161360	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	5	KOMATI FRUITS ( PTY ) LTD	15416268	LEMS,CTT150,*,1,*,88,*	10-MAY-26	50	45	0	0	0	0	161360	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	160	ENDULINI FRUIT (PTY) LTD	15523834	LEMS,CTT150,*,12,*,56,*	08-JUL-26	160	0	0	0	0	0	160675	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	319	ENDULINI FRUIT (PTY) LTD	15523829	LEMS,CTT150,*,12,*,64,*	08-JUL-26	320	1	0	0	0	0	160675	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	245	KOMATI FRUITS ( PTY ) LTD	15453386	LEMS,JP090,*,2,M,*,*	28-MAY-26	245	0	0	0	0	0	161360	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	58	MANDARYN BOERDERY BK	15548250	NAAR,CO070,NAR,1,*,36,*	22-JUL-26	260	202	0	0	0	0	10320	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	105	MANDARYN BOERDERY BK	15548283	NAAR,CO070,NAR,1,*,44,*	23-JUL-26	130	25	0	0	0	0	10320	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	MOUTON CITRUS (PTY) LTD	15564812	NAAR,CO100,M1,1,1XX,*,*	31-JUL-26	208	0	0	208	0	0	132365	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	70	MOUTON CITRUS (PTY) LTD	15553961	NAAR,CO100,NAR,1,1,*,*	26-JUL-26	174	0	0	104	0	0	132365	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	MOUTON CITRUS (PTY) LTD	15564804	NAAR,CO100,NAR,1,1,*,*	31-JUL-26	104	0	0	104	0	0	132365	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	MOUTON CITRUS (PTY) LTD	15564803	NAAR,CO100,NAR,1,1X,*,*	31-JUL-26	104	0	0	104	0	0	132365	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	MOUTON CITRUS (PTY) LTD	15553965	NAAR,CO100,NAR,1,1X,*,*	26-JUL-26	104	0	0	104	0	0	132365	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	24	SAND SEDGE (PTY) LTD	15486993	NAAR,CO100,NAR,1,1XX,*,*	16-JUN-26	312	288	0	0	0	0	278155	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	MOUTON CITRUS (PTY) LTD	15566436	NAAR,CO100,NAR,1,1XXX,*,*	31-JUL-26	1976	0	0	1976	0	0	132365	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	104	SAND SEDGE (PTY) LTD	15486994	NAAR,CO100,NAR,1,1XXX,*,*	16-JUN-26	312	208	0	0	0	0	278155	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	0	MOUTON CITRUS (PTY) LTD	15564802	NAAR,CO100,NAR,1,2,*,*	31-JUL-26	208	0	0	208	0	0	132365	0
R S A MARKET AGENTS	JOUBERT, RIAAN	141623	24	1	25653	3620	0	13919	0	320	7794	0	101	34	MOUTON CITRUS (PTY) LTD	15553967	NAAR,CO100,NAR,1,2,*,*	26-JUL-26	34	0	0	0	0	0	132365	0
