AGENT	SALESMAN	PER_ID	TE_ID	CF_COUNT	CS_SUMAGTQTYREC	CS_SUMAGTQTYSOLD	CS_SUMAGTQTYDESTR	CS_SUMAGTQTYCSTORE	CS_SUMAGTQTYSORTING	CS_SUMAGTQTYTRANSIT	CS_SUMAGTQTYFLOOR	CS_SUMAGTQTYRESERVED	LOC	QTY_FLOOR	PRODUCER	GRN_NO	COMMODITY	DATE_RECEIVED	QTY_REC	QTY_SOLD	DRQTY	CSSUM	SSUM	ITSUM	TE_ID_PROD	QTY_RESERVED
R S A MARKET AGENTS	POTGIETER, GEORGE PHILLIP	80399	24	1	23962	10738	0	617	0	0	12607	0	101	46	WESTFALIA MARKETING (PTY)LTD	15541216	AVOS,BG150,AK,2,M,*,*	19-JUL-26	160	114	0	0	0	0	12883	0
R S A MARKET AGENTS	POTGIETER, GEORGE PHILLIP	80399	24	1	23962	10738	0	617	0	0	12607	0	101	5	OPKOMS BELLEGINGS (EDMS) BPK	15564276	AVOS,BG150,AX,2,M,*,*	31-JUL-26	361	356	0	0	0	0	30593	0
R S A MARKET AGENTS	POTGIETER, GEORGE PHILLIP	80399	24	1	23962	10738	0	617	0	0	12607	0	101	24	WESTFALIA MARKETING (PTY)LTD	15559129	AVOS,BG160,AH,2,M,*,*	29-JUL-26	128	104	0	0	0	0	12883	0
R S A MARKET AGENTS	POTGIETER, GEORGE PHILLIP	80399	24	1	23962	10738	0	617	0	0	12607	0	101	34	GOLDI LEGACY	15583546	AVOS,BG160,AH,2,M,*,*	11-AUG-26	34	0	0	0	0	0	264946	0
R S A MARKET AGENTS	POTGIETER, GEORGE PHILLIP	80399	24	1	23962	10738	0	617	0	0	12607	0	101	319	THE FRUIT FARM GROUP SOUTH AFRICA	15586251	AVOS,BG160,AK,2,M,*,*	12-AUG-26	320	1	0	0	0	0	118289	0
R S A MARKET AGENTS	POTGIETER, GEORGE PHILLIP	80399	24	1	23962	10738	0	617	0	0	12607	0	101	256	H L HALL & SONS LIMITED	15586023	AVOS,BG170,AH,2,M,*,*	12-AUG-26	256	0	0	0	0	0	7822	0
R S A MARKET AGENTS	POTGIETER, GEORGE PHILLIP	80399	24	1	23962	10738	0	617	0	0	12607	0	101	30	WESTFALIA MARKETING (PTY)LTD	15572034	AVOS,SP170,AK,2,*,*,*	28-JUL-26	128	98	0	0	0	0	12883	0
R S A MARKET AGENTS	POTGIETER, GEORGE PHILLIP	80399	24	1	23962	10738	0	617	0	0	12607	0	101	56	GOLDI LEGACY	15583553	AVOS,SP200,AH,2,*,*,*	11-AUG-26	58	2	0	0	0	0	264946	0
R S A MARKET AGENTS	POTGIETER, GEORGE PHILLIP	80399	24	1	23962	10738	0	617	0	0	12607	0	101	194	ZZ2 - WAGENDRIFT	15583290	AVOS,TR040,AF,1,*,10,*	12-AUG-26	194	0	0	0	0	0	8529	0
R S A MARKET AGENTS	POTGIETER, GEORGE PHILLIP	80399	24	1	23962	10738	0	617	0	0	12607	0	101	78	ZZ2 - WAGENDRIFT	15583275	AVOS,TR040,AF,1,*,12,*	12-AUG-26	256	178	0	0	0	0	8529	0
